data_long1,data_long2,data_long3,data_long4
0.05722368323237,0,1,dm4_R
0.043794924118945,0,2,dm4m_R
0.04337417873687,0,3,dm2_R
-0.034350533324396,0,4,dm3_R
0.06273303005583,0,5,dldm_R
0.037991549242477,0,6,dm1_R
0.263292301355441,0.8,1,dm4_R
0.253594835051439,0.8,2,dm4m_R
0.171029897150444,0.8,3,dm2_R
0.169082641772064,0.8,4,dm3_R
0.093899676508215,0.8,5,dldm_R
0.090673038954461,0.8,6,dm1_R
0.315246795705893,0.7,1,dm4_R
0.202818504418912,0.7,2,dm4m_R
0.12234410332223,0.7,3,dm2_R
0.109722684891627,0.7,4,dm3_R
0.052635697007595,0.7,5,dldm_R
0.088886184445041,0.7,6,dm1_R
0.302601363013917,0.8,1,dm4_R
0.294372240868652,0.8,2,dm4m_R
0.177335411521216,0.8,3,dm2_R
0.145228837954825,0.8,4,dm3_R
0.067799103191378,0.8,5,dldm_R
0.066264099475573,0.8,6,dm1_R
0.106251150801872,0,1,dm4_R
0.076646783051673,0,2,dm4m_R
0.078581184718583,0,3,dm2_R
0.303950571298842,0,4,dm3_R
0.060999834943576,0,5,dldm_R
0.118930044054398,0,6,dm1_R
0.158544345890766,0.4,1,dm4_R
0.175337558944412,0.4,2,dm4m_R
0.140408784445472,0.4,3,dm2_R
0.122174622226644,0.4,4,dm3_R
0.021178208013064,0.4,5,dldm_R
0.0615637735275,0.4,6,dm1_R
0.206738085948742,0.7,1,dm4_R
0.148434103846137,0.7,2,dm4m_R
0.075561590144532,0.7,3,dm2_R
0.055852196775774,0.7,4,dm3_R
-0.037200129771651,0.7,5,dldm_R
0.052290830118116,0.7,6,dm1_R
0.587606001866086,0.8,1,dm4_R
0.550819688008317,0.8,2,dm4m_R
0.65323421199451,0.8,3,dm2_R
0.75572853207267,0.8,4,dm3_R
0.70453195378774,0.8,5,dldm_R
0.426763904397619,0.8,6,dm1_R
0.190858528522358,0.4,1,dm4_R
0.231734484792154,0.4,2,dm4m_R
0.16587931596835,0.4,3,dm2_R
0.128480258258016,0.4,4,dm3_R
0.095134872038742,0.4,5,dldm_R
0.097882960302248,0.4,6,dm1_R
0.222779217268719,0.7,1,dm4_R
0.148649665828353,0.7,2,dm4m_R
0.07188322454695,0.7,3,dm2_R
0.102919393339463,0.7,4,dm3_R
0.040042133855753,0.7,5,dldm_R
0.047872610597959,0.7,6,dm1_R
0.036629722536413,0,1,dm4_R
0.047395113599939,0,2,dm4m_R
0.030622416250926,0,3,dm2_R
0.033149589248825,0,4,dm3_R
0.077779448697336,0,5,dldm_R
0.028035646554996,0,6,dm1_R
0.287701620159253,0.7,1,dm4_R
0.255966118314682,0.7,2,dm4m_R
0.143860971897659,0.7,3,dm2_R
0.149908050155475,0.7,4,dm3_R
0.082966973857895,0.7,5,dldm_R
0.076545575753432,0.7,6,dm1_R
0.110880923843824,0,1,dm4_R
0.14191575457478,0,2,dm4m_R
0.204788677246401,0,3,dm2_R
0.11854389784156,0,4,dm3_R
0.118385732537466,0,5,dldm_R
0.179624569038801,0,6,dm1_R
0.140066241386638,0.4,1,dm4_R
0.153584999885836,0.4,2,dm4m_R
0.078694638773562,0.4,3,dm2_R
0.048262963010648,0.4,4,dm3_R
0.017336008202594,0.4,5,dldm_R
0.019863041735724,0.4,6,dm1_R
0.182595036038155,0.8,1,dm4_R
0.221880189456497,0.8,2,dm4m_R
0.192773434853544,0.8,3,dm2_R
0.17714961052774,0.8,4,dm3_R
0.124806960372588,0.8,5,dldm_R
0.078526379316388,0.8,6,dm1_R
0.213492931036824,0.8,1,dm4_R
0.13195211691701,0.8,2,dm4m_R
0.14022316697595,0.8,3,dm2_R
0.130365049130793,0.8,4,dm3_R
0.045643833025588,0.8,5,dldm_R
0.108019136606044,0.8,6,dm1_R
0.143473055479561,0.4,1,dm4_R
0.15297097815748,0.4,2,dm4m_R
0.075665428316516,0.4,3,dm2_R
0.074573381213473,0.4,4,dm3_R
0.013745707320482,0.4,5,dldm_R
0.122601292047581,0.4,6,dm1_R
0.07617861118242,0,1,dm4_R
0.066381992685191,0,2,dm4m_R
0.087370312481151,0,3,dm2_R
0.105705496362348,0,4,dm3_R
0.083897033408065,0,5,dldm_R
0.11324772793646,0,6,dm1_R
0.338551033269795,0.7,1,dm4_R
0.332627630780756,0.7,2,dm4m_R
0.492423533194222,0.7,3,dm2_R
0.621039058673842,0.7,4,dm3_R
0.635391621405479,0.7,5,dldm_R
0.393895667922051,0.7,6,dm1_R
0.287570006591719,0.4,1,dm4_R
0.248492014429416,0.4,2,dm4m_R
0.169786650531813,0.4,3,dm2_R
0.10649210725619,0.4,4,dm3_R
0.078160317535128,0.4,5,dldm_R
0.102860974344993,0.4,6,dm1_R
-0.012384590591824,0,1,dm4_R
-0.006709856490417,0,2,dm4m_R
0.029338870668231,0,3,dm2_R
