data_long1,data_long2,data_long3,data_long4
0.000527456310281637,0,5,dldm_R
0.00033779831455207,0,6,dm1_R
0.00820255695825648,0.8,1,dm4_R
0.00938124116009681,0.8,2,dm4m_R
0.0113676224282298,0.8,3,dm2_R
0.012104731225498,0.8,4,dm3_R
0.0128755384697859,0.8,5,dldm_R
0.0103634348907713,0.8,6,dm1_R
0.00388125849853857,0.7,1,dm4_R
0.00610590298859577,0.7,2,dm4m_R
0.00326459453585389,0.7,3,dm2_R
0.00228061076062912,0.7,4,dm3_R
0.00266362034359737,0.7,5,dldm_R
0.00177248818934954,0.7,6,dm1_R
0.000336713893829849,0.4,1,dm4_R
0.00069974817605055,0.4,2,dm4m_R
0.000686682654057461,0.4,3,dm2_R
0.000677812794257305,0.4,4,dm3_R
0.000576682811078015,0.4,5,dldm_R
0.000335847032003657,0.4,6,dm1_R
0.00164140973555684,0.4,1,dm4_R
0.00167319683937621,0.4,2,dm4m_R
0.00129997090809332,0.4,3,dm2_R
0.000750582428377198,0.4,4,dm3_R
0.00122450567812304,0.4,5,dldm_R
0.000869739111453021,0.4,6,dm1_R
0.00623848045816076,0.7,1,dm4_R
0.00438001307817795,0.7,2,dm4m_R
0.00512068704581783,0.7,3,dm2_R
0.00621971991512419,0.7,4,dm3_R
0.00646328332882855,0.7,5,dldm_R
0.00388039230399445,0.7,6,dm1_R
0.00815969793450316,0.8,1,dm4_R
0.00734680256099313,0.8,2,dm4m_R
0.00804945669236399,0.8,3,dm2_R
0.00977975862857666,0.8,4,dm3_R
0.00995581435148755,0.8,5,dldm_R
0.00660714656672188,0.8,6,dm1_R
-0.00199194163763918,0,1,dm4_R
0.000908539801149526,0,2,dm4m_R
0.00032714561254709,0,3,dm2_R
0.000217119248483113,0,4,dm3_R
0.000181272077296752,0,5,dldm_R
0.000546274100210536,0,6,dm1_R
0.000258922191939433,0.4,1,dm4_R
0.00109888657618288,0.4,2,dm4m_R
0.00106117463142553,0.4,3,dm2_R
-0.0028277519055862,0.4,4,dm3_R
0.000430558359308843,0.4,5,dldm_R
0.000635578013730614,0.4,6,dm1_R
-0.00174634020206584,0,1,dm4_R
0.0003041699564303,0,2,dm4m_R
0.000126005973716644,0,3,dm2_R
-0.00106205173155775,0,4,dm3_R
0.000122109762042652,0,5,dldm_R
0.00067547406195282,0,6,dm1_R
0.00188149164008585,0.8,1,dm4_R
0.00233789523692001,0.8,2,dm4m_R
0.00115400718719061,0.8,3,dm2_R
0.00197435112038605,0.8,4,dm3_R
0.00134407116079592,0.8,5,dldm_R
-2.48705601067723e-05,0.8,6,dm1_R
0.0032823689390059,0.7,1,dm4_R
0.00297716810750964,0.7,2,dm4m_R
0.00177047578773262,0.7,3,dm2_R
0.00134530074743175,0.7,4,dm3_R
0.00115514971035309,0.7,5,dldm_R
0.00213759357862036,0.7,6,dm1_R
0.00883483676316302,0.4,1,dm4_R
0.00791982405326523,0.4,2,dm4m_R
0.0101709425662262,0.4,3,dm2_R
0.0133220717304205,0.4,4,dm3_R
0.012966053091109,0.4,5,dldm_R
0.00850565738695458,0.4,6,dm1_R
0.000982801309881688,0,1,dm4_R
0.00223495838598546,0,2,dm4m_R
0.00283743891989458,0,3,dm2_R
-0.000686588247108369,0,4,dm3_R
0.000338791515832201,0,5,dldm_R
0.000268242673220722,0,6,dm1_R
0.00282324197249357,0.8,1,dm4_R
0.00295194582000415,0.8,2,dm4m_R
0.0021445887095052,0.8,3,dm2_R
0.00189006185504438,0.8,4,dm3_R
0.00132359249042615,0.8,5,dldm_R
0.00124218190705695,0.8,6,dm1_R
0.00227811291973696,0.7,1,dm4_R
0.00148594319943137,0.7,2,dm4m_R
0.00199695729519456,0.7,3,dm2_R
